Threat Category,Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels
Ransomware,Anonymous,Web,USA,0.61,3,Increase Web Security,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Malware,Unknown,Email,Global,0.76,4,Quarantine,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",DDoS
Malware,Lazarus Group,Email,Global,0.86,1,Monitor for Phishing,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Ransomware,APT-28,Network,USA,0.55,5,Increase Web Security,4,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
DDoS,Lazarus Group,Network,Global,0.66,3,Increase Web Security,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware
Ransomware,Anonymous,Web,North Korea,0.98,4,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
DDoS,Lazarus Group,Web,Germany,0.63,5,Monitor for Phishing,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Phishing,Lazarus Group,Web,Germany,0.66,3,Quarantine,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware
Phishing,Anonymous,Network,USA,0.92,2,Patch Vulnerability,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS
Phishing,APT-28,Email,Global,0.53,4,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Ransomware
Malware,Unknown,Email,Russia,0.73,2,Patch Vulnerability,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
Phishing,APT-28,Web,Russia,0.69,1,Patch Vulnerability,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware
DDoS,Anonymous,Web,Global,0.66,2,Increase Web Security,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Phishing,Lazarus Group,Web,Russia,0.64,2,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing
Ransomware,APT-28,Web,USA,0.55,4,Monitor for Phishing,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,Unknown,Network,USA,0.66,1,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Malware,Anonymous,Email,Global,0.52,2,Increase Web Security,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware
Ransomware,APT-28,Web,Russia,0.89,5,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware
DDoS,Unknown,Network,USA,0.7,3,Patch Vulnerability,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Phishing,Anonymous,Web,USA,0.72,2,Quarantine,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Malware,Unknown,Web,North Korea,0.95,1,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware
Phishing,Anonymous,Email,North Korea,0.83,2,Patch Vulnerability,2,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Phishing,Lazarus Group,Web,USA,0.5,3,Increase Web Security,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Ransomware
DDoS,APT-28,Email,Global,0.97,1,Increase Web Security,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware
Ransomware,Unknown,Email,Germany,0.62,4,Quarantine,2,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",DDoS
Ransomware,Anonymous,Email,Germany,0.55,1,Quarantine,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS
Phishing,Unknown,Network,USA,0.88,4,Monitor for Phishing,5,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS
Malware,Unknown,Network,USA,0.75,1,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Malware
Ransomware,APT-28,Email,USA,0.72,3,Patch Vulnerability,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Malware,Lazarus Group,Web,Global,0.62,3,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Ransomware,Unknown,Email,North Korea,0.77,1,Monitor for Phishing,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Malware,Anonymous,Web,USA,0.64,2,Increase Web Security,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
DDoS,Anonymous,Email,USA,0.95,3,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware
Malware,Lazarus Group,Web,Russia,0.61,4,Monitor for Phishing,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS
DDoS,Anonymous,Network,Global,0.94,4,Monitor for Phishing,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS
DDoS,Lazarus Group,Web,USA,0.78,5,Patch Vulnerability,3,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
Malware,Anonymous,Email,Russia,0.91,4,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Malware
DDoS,APT-28,Network,Germany,0.86,5,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Web,USA,0.85,1,Increase Web Security,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware
DDoS,APT-28,Web,USA,0.66,1,Quarantine,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware
Ransomware,Unknown,Web,Russia,0.62,1,Monitor for Phishing,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS
Malware,Unknown,Web,Global,0.61,2,Patch Vulnerability,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Web,USA,0.93,2,Quarantine,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Malware,APT-28,Network,Germany,0.91,5,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",DDoS
Ransomware,Unknown,Network,USA,0.72,4,Increase Web Security,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Ransomware,APT-28,Network,Germany,0.57,4,Patch Vulnerability,4,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Ransomware,Lazarus Group,Network,North Korea,0.69,1,Quarantine,4,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS
DDoS,Anonymous,Email,North Korea,0.81,3,Increase Web Security,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
DDoS,Anonymous,Network,Germany,0.73,2,Quarantine,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS
Malware,Unknown,Web,Global,0.89,2,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Malware,APT-28,Web,USA,1,1,Increase Web Security,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Phishing,Anonymous,Network,USA,0.6,2,Quarantine,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Phishing,APT-28,Web,North Korea,0.73,1,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Malware,APT-28,Network,Germany,0.72,5,Monitor for Phishing,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Ransomware
DDoS,Unknown,Web,USA,0.65,4,Increase Web Security,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Anonymous,Email,USA,0.6,3,Quarantine,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS
Malware,Unknown,Email,Global,0.53,4,Monitor for Phishing,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Unknown,Network,Russia,0.94,4,Patch Vulnerability,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing
DDoS,Anonymous,Network,North Korea,0.71,5,Quarantine,5,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Malware,Anonymous,Network,North Korea,0.75,2,Quarantine,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware
Malware,Lazarus Group,Web,Russia,0.96,3,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Malware
DDoS,Lazarus Group,Network,USA,0.89,2,Monitor for Phishing,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Malware,APT-28,Email,Global,0.57,4,Patch Vulnerability,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
DDoS,Anonymous,Web,Global,0.78,1,Quarantine,5,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Ransomware,Lazarus Group,Network,North Korea,0.72,4,Monitor for Phishing,2,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
DDoS,APT-28,Web,Global,0.9,2,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
DDoS,APT-28,Web,Russia,0.86,4,Patch Vulnerability,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware
DDoS,APT-28,Network,USA,0.85,1,Monitor for Phishing,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Malware,Lazarus Group,Web,Russia,0.67,5,Quarantine,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Malware,Anonymous,Email,Germany,0.9,2,Increase Web Security,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing
DDoS,Unknown,Email,North Korea,0.53,4,Increase Web Security,3,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Malware,APT-28,Web,Global,0.58,2,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Phishing,Lazarus Group,Network,Germany,0.67,5,Increase Web Security,5,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Lazarus Group,Web,Global,0.54,4,Increase Web Security,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Malware,Unknown,Email,USA,0.62,4,Monitor for Phishing,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Malware,Unknown,Web,USA,0.92,2,Patch Vulnerability,4,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
DDoS,Lazarus Group,Web,USA,0.97,2,Quarantine,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS
Ransomware,Anonymous,Email,Global,0.65,1,Patch Vulnerability,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Malware,Unknown,Web,Germany,0.63,5,Monitor for Phishing,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS
Phishing,Lazarus Group,Web,USA,0.64,1,Increase Web Security,5,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
DDoS,Unknown,Network,Germany,0.64,4,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware
Malware,Anonymous,Network,Global,0.52,2,Patch Vulnerability,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Phishing,APT-28,Email,Germany,0.96,4,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
Phishing,Unknown,Email,Global,0.61,4,Patch Vulnerability,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Anonymous,Email,Global,0.71,3,Quarantine,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",DDoS
DDoS,Lazarus Group,Network,North Korea,0.5,3,Patch Vulnerability,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Ransomware
DDoS,Unknown,Email,Global,0.93,4,Patch Vulnerability,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Ransomware,Unknown,Email,Global,0.87,2,Patch Vulnerability,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Malware
Ransomware,Lazarus Group,Email,Russia,0.97,4,Increase Web Security,3,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS
DDoS,APT-28,Network,USA,0.89,3,Quarantine,2,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS
DDoS,Lazarus Group,Web,North Korea,0.66,2,Quarantine,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Malware
Malware,Unknown,Email,North Korea,0.62,4,Increase Web Security,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Malware,Lazarus Group,Web,North Korea,0.85,5,Increase Web Security,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Ransomware,Anonymous,Email,Russia,0.68,5,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Malware,Lazarus Group,Web,Global,0.78,4,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
Phishing,Unknown,Network,USA,0.5,2,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
Malware,Lazarus Group,Network,Germany,0.53,4,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS
Malware,APT-28,Email,Global,0.77,4,Quarantine,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Lazarus Group,Web,Russia,0.78,3,Patch Vulnerability,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,APT-28,Network,Global,0.88,5,Monitor for Phishing,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",DDoS
Phishing,Anonymous,Email,Global,0.57,3,Increase Web Security,3,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware
Malware,APT-28,Email,Russia,0.76,3,Quarantine,1,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Lazarus Group,Network,North Korea,0.6,4,Quarantine,3,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Malware
Malware,Unknown,Network,North Korea,0.55,3,Patch Vulnerability,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Ransomware
Phishing,APT-28,Email,USA,0.71,5,Quarantine,3,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Phishing,Anonymous,Web,USA,0.58,3,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Ransomware
Malware,APT-28,Web,North Korea,0.61,5,Quarantine,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
DDoS,APT-28,Web,Germany,0.66,3,Increase Web Security,4,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Ransomware
DDoS,APT-28,Email,Global,0.63,5,Monitor for Phishing,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Phishing,Anonymous,Network,Germany,0.54,3,Monitor for Phishing,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Phishing,Lazarus Group,Email,Global,0.54,3,Increase Web Security,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
DDoS,APT-28,Network,North Korea,0.6,2,Patch Vulnerability,2,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
DDoS,APT-28,Web,USA,0.53,5,Quarantine,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
Malware,Unknown,Web,USA,0.81,5,Patch Vulnerability,4,malware detected in email attachment,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS
Malware,Anonymous,Network,Germany,0.64,5,Quarantine,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS
DDoS,APT-28,Network,USA,0.64,1,Monitor for Phishing,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Ransomware
Malware,Anonymous,Email,North Korea,0.67,3,Monitor for Phishing,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware
Malware,APT-28,Web,Germany,0.83,5,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Ransomware,Lazarus Group,Email,Global,0.94,1,Quarantine,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Malware,Lazarus Group,Email,USA,0.88,2,Monitor for Phishing,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Phishing,APT-28,Email,Russia,0.86,5,Monitor for Phishing,2,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware
Malware,Lazarus Group,Web,USA,0.74,5,Monitor for Phishing,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS
Malware,APT-28,Email,Global,0.85,1,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing
DDoS,Lazarus Group,Email,Germany,0.78,3,Patch Vulnerability,1,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Email,Global,0.61,2,Monitor for Phishing,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Malware
Malware,Unknown,Email,Russia,0.6,5,Monitor for Phishing,2,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Malware,Unknown,Email,North Korea,0.65,3,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Ransomware,Anonymous,Email,USA,0.96,2,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Malware,Anonymous,Web,Germany,0.77,4,Quarantine,5,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Malware,Unknown,Email,North Korea,0.87,4,Increase Web Security,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
Ransomware,Anonymous,Network,Global,0.67,2,Monitor for Phishing,5,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
DDoS,Lazarus Group,Email,Germany,0.7,1,Monitor for Phishing,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Malware,APT-28,Email,North Korea,0.56,2,Monitor for Phishing,5,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Ransomware,APT-28,Web,Germany,0.59,2,Quarantine,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
Phishing,APT-28,Web,Russia,0.91,1,Monitor for Phishing,3,malware detected in email attachment,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing
DDoS,Unknown,Network,Russia,0.79,1,Increase Web Security,4,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
Phishing,Anonymous,Network,USA,0.67,3,Patch Vulnerability,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing
Phishing,Lazarus Group,Web,USA,0.9,3,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Ransomware,Lazarus Group,Web,Russia,0.62,1,Patch Vulnerability,2,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware
Malware,Unknown,Email,Germany,0.99,4,Monitor for Phishing,3,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware
Ransomware,Lazarus Group,Web,Russia,0.67,4,Monitor for Phishing,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Ransomware,Lazarus Group,Network,USA,0.67,2,Monitor for Phishing,1,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Ransomware
Ransomware,Lazarus Group,Email,Russia,0.66,5,Increase Web Security,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Malware
Ransomware,Lazarus Group,Network,Russia,0.56,2,Increase Web Security,3,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
DDoS,Anonymous,Email,Germany,0.56,2,Quarantine,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Malware,Lazarus Group,Web,North Korea,0.82,5,Patch Vulnerability,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",DDoS
Phishing,APT-28,Network,USA,0.94,1,Monitor for Phishing,3,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing
Phishing,Unknown,Email,Germany,0.9,4,Monitor for Phishing,1,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Anonymous,Email,Russia,0.57,2,Monitor for Phishing,5,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS
Phishing,Lazarus Group,Web,Russia,0.77,5,Monitor for Phishing,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",DDoS
Malware,Anonymous,Web,North Korea,0.55,3,Increase Web Security,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Phishing,Lazarus Group,Web,USA,0.52,2,Patch Vulnerability,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,APT-28,Network,USA,0.83,4,Patch Vulnerability,3,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Phishing,Unknown,Email,Global,0.77,1,Quarantine,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
Malware,Lazarus Group,Web,USA,0.54,2,Increase Web Security,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing
Malware,Lazarus Group,Network,North Korea,0.52,2,Monitor for Phishing,4,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Malware,Lazarus Group,Network,Global,0.99,5,Patch Vulnerability,5,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Lazarus Group,Network,Global,0.52,3,Patch Vulnerability,3,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Malware
Malware,Unknown,Web,Russia,0.72,3,Increase Web Security,1,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing
DDoS,Unknown,Web,Russia,0.75,1,Quarantine,2,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Malware
DDoS,APT-28,Email,USA,0.56,4,Quarantine,1,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
Phishing,Unknown,Email,Global,0.58,1,Monitor for Phishing,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Phishing
Malware,Lazarus Group,Web,Russia,0.68,2,Quarantine,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Phishing,APT-28,Network,North Korea,0.88,2,Patch Vulnerability,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
Malware,APT-28,Network,Russia,0.75,3,Quarantine,5,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
